Pc,OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
10,2.5,1.595705,3091.42,1822.2,2299.5,2.1768,1.262,639.464838621042,0.278074568706782,0.198624691933416,0.0794498767733662
11,2.5,1.595705,3099.14,1824,2339.5,2.3136,1.2827,714.949051782196,0.305580168315377,0.218271548796698,0.0873086195186791
12,2.5,1.595705,3106.13,1825.6,2375,2.4476,1.301,791.071716367013,0.333068018688101,0.237905727634358,0.0951622910537431
13,2.5,1.595705,3112.49,1827,2406.7,2.579,1.3173,867.731490879674,0.360547193665433,0.257533709761024,0.10301348390441
14,2.5,1.595705,3118.33,1828.3,2435.5,2.7081,1.3321,944.979046068087,0.388005508251653,0.277146791608323,0.110858716643329
15,2.5,1.595705,3123.72,1829.6,2461.6,2.835,1.3455,1022.66236968852,0.415424802495762,0.296732001782687,0.118692800713075
16,2.5,1.595705,3128.72,1830.7,2485.6,2.96,1.3577,1100.73079099308,0.442853535017205,0.316323953583718,0.126529581433487
17,2.5,1.595705,3133.38,1831.8,2507.7,3.083,1.369,1179.26031610361,0.470249325508105,0.335892375362932,0.134356950145173
18,2.5,1.595705,3137.74,1832.8,2528.2,3.2044,1.3795,1258.205341347,0.497639383661881,0.355456702615629,0.142182681046252
19,2.5,1.595705,3141.83,1833.7,2547.3,3.3241,1.3892,1337.44425692826,0.52502819997014,0.375020142835814,0.150008057134326
20,2.5,1.595705,3145.69,1834.5,2565.1,3.4423,1.3982,1416.95679454824,0.552420255216678,0.394585896583341,0.157834358633337
21,2.5,1.595705,3149.32,1835.4,2581.8,3.5591,1.4067,1496.84936277754,0.579756841072652,0.414112029337608,0.165644811735043
22,2.5,1.595705,3152.77,1836.1,2597.5,3.6745,1.4147,1577.04595549431,0.607132756393712,0.433666254566937,0.173466501826775
23,2.5,1.595705,3156.04,1836.9,2612.4,3.7886,1.4222,1657.47056657666,0.634453264698266,0.453180903355904,0.181272361342362
24,2.5,1.595705,3159.16,1837.6,2626.4,3.9016,1.4293,1738.16879969773,0.661785997950585,0.472704284250418,0.189081713700167
